ALK,AXL,DYRK1B,EGFR,MAPK11,MAPK12,MAPK3,MAPKAPK3,MAPKAPK5,PI4KB,PIK3CD,PRKACA,ROCK2,RPS6KA1,SRC,TEC,TYRO3,ZAP70
BLK,CSNK1A1,DDR2,DYRK1B,EGFR,FLT3,GSK3A,HIPK1,MAPK1,MAPK13,MAPKAPK2,MAPKAPK5,PI4KB,PIK3CD,PLK1,PTK2B,ROCK1,ROCK2,RPS6KA3,RPS6KA5,RPS6KB1,SIK2,TEC,YES1
ABL1,AKT3,CHUK,EGFR,FES,FGR,GSK3A,JAK2,LCK,MAPK1,MARK1,NTRK1,ROCK1,RPS6KA1,RPS6KA5,SIK2,TEC,TTK
ABL1,BLK,CDC42BPA,CDK1,CLK2,DYRK1B,EGFR,EPHA3,EPHB3,FGFR3,FLT3,IKBKB,IKBKE,JAK3,KIT,MAPK13,MARK4,MKNK1,NEK1,PAK2,PRKD2,PRKG2,ROCK1,ROCK2,SIK2,SRC,SRPK3,STK4,TEK,TTK,TYK2,TYRO3
AKT3,CHUK,DYRK1B,EGFR,FER,MAP4K4,MAPK11,MARK2,MUSK,PAK6,ROCK2,TEC
EGFR,EPHB4,FES,FRK,HCK,MET,NTRK1,PIK3CD,ROCK1,STK4,TTK
CDK6,CSNK1G3,DCLK2,DDR2,EGFR,EPHB3,FLT3,HCK,MST4,PI4KB,PIM3,PRKAA2,PRKD3,PTK2B,ROCK2,SIK2,STK3,TSSK1B
CHEK1,CHUK,EGFR,EPHA4,EPHB3,EPHB4,ERBB4,FLT4,GSK3B,KDR,MAPK14,MAPKAPK3,NEK7,NTRK2,PRKG1,RET,ROS1,RPS6KA1,SGK3,SIK2,TTK
AXL,CDK2,CSNK1G3,EGFR,MUSK,NEK7,PAK1,PAK6,PIK3CD,ROCK1
ABL1,AKT1,BMX,BRSK1,BTK,EGFR,ERBB4,MAP4K2,MAP4K4,MAPK11,MUSK,ROCK1,SIK2,SRC,STK3
