,num_features,g_fitness,g_accuracy,g_sensitivity,g_specificity,a_fitness,a_accuracy,a_sensitivity,a_specificity,spread_sum,spread_mean
0,92.0,0.6098998361287835,0.7814017094017094,0.5446428571428572,0.8748538011695907,0.6098998361287835,0.7814017094017094,0.5446428571428572,0.8748538011695907,0.0,0.0
1,79.0,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.0,0.0
2,79.0,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.0,0.0
3,79.0,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.0,0.0
4,79.0,0.5004263639868902,0.7501367521367521,0.33392857142857135,0.9125730994152047,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.0,0.0
5,79.0,0.6296355439881756,0.762005698005698,0.5178571428571428,0.8584795321637426,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.0,0.0
6,79.0,0.6303745356982199,0.77797150997151,0.5160714285714285,0.8807017543859649,0.6325408232118759,0.823162393162393,0.5375,0.9342105263157896,0.0,0.0
7,72.0,0.6494467900520533,0.8043589743589743,0.5678571428571428,0.8967836257309942,0.6494467900520533,0.8043589743589743,0.5678571428571428,0.8967836257309942,0.0,0.0
8,60.0,0.6574614581325107,0.8157549857549858,0.5517857142857142,0.9184210526315789,0.6574614581325107,0.8157549857549858,0.5517857142857142,0.9184210526315789,0.0,0.0
9,60.0,0.6574614581325107,0.8157549857549858,0.5517857142857142,0.9184210526315789,0.6574614581325107,0.8157549857549858,0.5517857142857142,0.9184210526315789,0.0,0.0
10,60.0,0.6585595045305571,0.8253675213675213,0.5482142857142858,0.9347953216374268,0.6585595045305571,0.8253675213675213,0.5482142857142858,0.9347953216374268,0.0,0.0
11,57.0,0.6602434065934065,0.8323589743589744,0.5410714285714284,0.9467836257309943,0.6602434065934065,0.8323589743589744,0.5410714285714284,0.9467836257309943,0.0,0.0
12,57.0,0.6602434065934065,0.8323589743589744,0.5410714285714284,0.9467836257309943,0.6602434065934065,0.8323589743589744,0.5410714285714284,0.9467836257309943,0.0,0.0
13,57.0,0.6602434065934065,0.8323589743589744,0.5410714285714284,0.9467836257309943,0.6602434065934065,0.8323589743589744,0.5410714285714284,0.9467836257309943,0.0,0.0
14,57.0,0.5393553113553113,0.7621367521367521,0.4214285714285714,0.8959064327485379,0.6602434065934065,0.8323589743589744,0.5410714285714284,0.9467836257309943,0.0,0.0
15,57.0,0.6515115031167663,0.7921937321937322,0.5392857142857144,0.8906432748538012,0.6602434065934065,0.8323589743589744,0.5410714285714284,0.9467836257309943,0.0,0.0
16,38.0,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.0,0.0
17,38.0,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.0,0.0
18,38.0,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.0,0.0
19,38.0,0.5355491420859841,0.7726324786324785,0.42857142857142855,0.9073099415204678,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.0,0.0
20,38.0,0.6654015905147485,0.8085128205128205,0.5446428571428571,0.9131578947368422,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.0,0.0
21,38.0,0.6699568697384487,0.8043361823361824,0.5267857142857143,0.9131578947368422,0.6742895604395605,0.8125128205128206,0.5410714285714285,0.9184210526315789,0.0,0.0
22,42.0,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.0,0.0
23,42.0,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.0,0.0
24,42.0,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.0,0.0
25,42.0,0.49712582738898525,0.7172364672364672,0.34285714285714286,0.8631578947368421,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.0,0.0
26,42.0,0.6716962984384036,0.8278974358974359,0.5392857142857143,0.9397660818713451,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.0,0.0
27,42.0,0.6716962984384036,0.8278974358974359,0.5392857142857143,0.9397660818713451,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.0,0.0
28,42.0,0.6716962984384036,0.8278974358974359,0.5392857142857143,0.9397660818713451,0.6821402673350041,0.8080740740740741,0.5678571428571428,0.9017543859649123,0.0,0.0
