,num_features,g_fitness,g_score,a_fitness,a_score
0,74.0,0.6989473684210525,0.7210526315789473,0.6989473684210525,0.7210526315789473
1,43.0,0.7476190476190476,0.7411027568922306,0.7476190476190476,0.7411027568922306
2,6.0,0.8052130325814537,0.7644110275689223,0.8052130325814537,0.7644110275689223
3,2.0,0.8216541353383459,0.7796992481203008,0.8216541353383459,0.7796992481203008
4,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
5,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
6,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
7,1.0,0.6726315789473684,0.7210526315789473,0.8231077694235589,0.7802005012531328
8,1.0,0.8028571428571429,0.7548872180451128,0.8231077694235589,0.7802005012531328
9,1.0,0.8028571428571429,0.7548872180451128,0.8231077694235589,0.7802005012531328
10,1.0,0.8028571428571429,0.7548872180451128,0.8231077694235589,0.7802005012531328
11,1.0,0.8102255639097745,0.7654135338345865,0.8231077694235589,0.7802005012531328
12,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
13,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
14,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
15,1.0,0.6789473684210525,0.7210526315789473,0.8231077694235589,0.7802005012531328
16,1.0,0.8022055137844611,0.7553884711779448,0.8231077694235589,0.7802005012531328
17,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
18,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
19,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
20,1.0,0.6736842105263157,0.7210526315789473,0.8231077694235589,0.7802005012531328
21,1.0,0.7994486215538847,0.7506265664160401,0.8231077694235589,0.7802005012531328
22,1.0,0.8015538847117795,0.7558897243107771,0.8231077694235589,0.7802005012531328
23,1.0,0.8098245614035088,0.7649122807017543,0.8231077694235589,0.7802005012531328
24,1.0,0.8098245614035088,0.7649122807017543,0.8231077694235589,0.7802005012531328
25,1.0,0.8098245614035088,0.7649122807017543,0.8231077694235589,0.7802005012531328
26,1.0,0.8170426065162907,0.7739348370927318,0.8231077694235589,0.7802005012531328
27,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
28,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
29,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
30,1.0,0.683157894736842,0.7210526315789473,0.8231077694235589,0.7802005012531328
31,1.0,0.7994486215538847,0.7506265664160401,0.8231077694235589,0.7802005012531328
32,1.0,0.8028571428571427,0.7548872180451127,0.8231077694235589,0.7802005012531328
33,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
34,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
35,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
36,1.0,0.6747368421052631,0.7210526315789473,0.8231077694235589,0.7802005012531328
37,1.0,0.8136340852130325,0.7696741854636591,0.8231077694235589,0.7802005012531328
38,1.0,0.8136340852130325,0.7696741854636591,0.8231077694235589,0.7802005012531328
39,1.0,0.8136340852130325,0.7696741854636591,0.8231077694235589,0.7802005012531328
40,1.0,0.6663157894736841,0.7210526315789473,0.8231077694235589,0.7802005012531328
41,1.0,0.7994486215538847,0.7506265664160401,0.8231077694235589,0.7802005012531328
42,1.0,0.8108771929824561,0.7649122807017543,0.8231077694235589,0.7802005012531328
43,1.0,0.8108771929824561,0.7649122807017543,0.8231077694235589,0.7802005012531328
44,1.0,0.8108771929824561,0.7649122807017543,0.8231077694235589,0.7802005012531328
45,1.0,0.6852631578947368,0.7210526315789473,0.8231077694235589,0.7802005012531328
46,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
47,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
48,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
49,1.0,0.6673684210526315,0.7210526315789473,0.8231077694235589,0.7802005012531328
50,1.0,0.8108771929824561,0.7649122807017543,0.8231077694235589,0.7802005012531328
51,1.0,0.8108771929824561,0.7649122807017543,0.8231077694235589,0.7802005012531328
52,1.0,0.8108771929824561,0.7649122807017543,0.8231077694235589,0.7802005012531328
53,1.0,0.6589473684210525,0.7210526315789473,0.8231077694235589,0.7802005012531328
54,1.0,0.8106265664160401,0.7659147869674185,0.8231077694235589,0.7802005012531328
55,1.0,0.8106265664160401,0.7659147869674185,0.8231077694235589,0.7802005012531328
56,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
57,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
58,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
59,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
60,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
61,1.0,0.6715789473684209,0.7210526315789473,0.8231077694235589,0.7802005012531328
62,1.0,0.8056140350877192,0.7596491228070175,0.8231077694235589,0.7802005012531328
63,1.0,0.8223057644110274,0.7791979949874686,0.8231077694235589,0.7802005012531328
64,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
65,1.0,0.8231077694235589,0.7802005012531328,0.8231077694235589,0.7802005012531328
