TNK2
ROCK1,ROCK2
PIK3CB,PIK3CD
PRKCA,PRKCB,PRKCG
CDK1,CDK2,CDK3,CDK4,CDK6,CDK5
RPS6KA4,RPS6KA5,RPS6KA2,RPS6KA1,RPS6KA1,RPS6KA3,RPS6KA6
PRKG1,PRKG2
MAPKAPK3,MAPKAPK2
PRKX,PRKY
MAPK14,MAPK11,MAPK13,MAPK12
MAP4K4,TNIK,MINK1
MUSK
FGR,FYN,SRC,YES1,BLK,HCK,LCK,LYN
EGFR,ERBB2,ERBB4
FLT4
