num_of_features,accuracy,sensitivity,specificity
190,0.7732592592592592,0.37321428571428567,0.9301169590643275
190,0.7799088319088319,0.3839285714285714,0.9339181286549708
190,0.7728319088319088,0.3696428571428571,0.9295321637426902
190,0.7773903133903134,0.38928571428571423,0.92953216374269
190,0.7732592592592592,0.36071428571428565,0.9347953216374268
190,0.7856980056980057,0.4053571428571428,0.9345029239766083
190,0.7694131054131054,0.36071428571428565,0.9292397660818713
190,0.7734017094017094,0.34464285714285714,0.9403508771929825
190,0.7727977207977207,0.39107142857142857,0.9228070175438597
190,0.7858404558404558,0.40535714285714286,0.9350877192982455
190,0.7733789173789173,0.39107142857142857,0.923391812865497
190,0.7822905982905983,0.42142857142857143,0.9245614035087719
190,0.7857094017094017,0.3910714285714285,0.9409356725146198
190,0.7729515669515669,0.3625,0.9336257309941521
190,0.7768091168091168,0.38749999999999996,0.9289473684210525
190,0.7846552706552706,0.39999999999999997,0.9350877192982455
190,0.7769515669515669,0.3767857142857142,0.9336257309941521
190,0.7772478632478632,0.36964285714285705,0.9350877192982455
190,0.7738404558404558,0.3910714285714285,0.9239766081871345
190,0.7883475783475783,0.38749999999999996,0.9450292397660819
190,0.7701481481481481,0.3785714285714285,0.9242690058479532
190,0.7809401709401709,0.4178571428571428,0.9230994152046785
190,0.7852478632478632,0.41607142857142854,0.9289473684210525
190,0.7734017094017094,0.34642857142857136,0.9403508771929825
190,0.7739943019943019,0.3910714285714285,0.9242690058479532
190,0.7855327635327635,0.35,0.9567251461988304
190,0.7882051282051281,0.41428571428571426,0.9339181286549707
190,0.777994301994302,0.3874999999999999,0.9298245614035088
190,0.773105413105413,0.37321428571428567,0.92953216374269
190,0.7772706552706553,0.3589285714285714,0.9403508771929824
190,0.7904216524216524,0.4499999999999999,0.9236842105263158
190,0.7806210826210827,0.38928571428571423,0.9342105263157896
190,0.7618632478632479,0.3464285714285714,0.9239766081871347
190,0.7782905982905983,0.3785714285714285,0.9353801169590643
190,0.7814017094017094,0.4,0.9301169590643275
190,0.7817094017094017,0.40178571428571425,0.9298245614035088
190,0.7808091168091168,0.3839285714285714,0.9353801169590644
190,0.7704558404558404,0.3785714285714285,0.9245614035087719
190,0.7807863247863247,0.4017857142857143,0.9289473684210525
190,0.7803361823361823,0.3767857142857142,0.9397660818713451
190,0.7744330484330484,0.40714285714285714,0.9187134502923977
